GUERRERO,8 - AYUTLA DE LOS LIBRES,CHAVEZ RENDON OSCAR LUIS,"149,137.25","460,980.93",0.00,0.00,0.00,"90,937.06",0.00,0.00,10.19,0.00,"701,065.43"
GUERRERO,9 - ACAPULCO DE JUAREZ,FARIAS SILVESTRE GERMAN,"150,000.00","460,980.93","34,000.00",0.00,"30,000.00",0.00,"7,000.00",0.00,51.92,0.00,"682,032.85"
MICHOACAN,1 - LAZARO CARDENAS,CAMPOS DIAZ MA. CRUZ,"150,300.20","455,671.60",0.00,0.00,0.00,0.00,"100,000.00",0.00,7.44,0.00,"705,979.24"
MICHOACAN,2 - PURUANDIRO,JUAREZ BLANQUET ERIK,"150,000.00","455,671.60",0.00,0.00,0.00,0.00,0.00,0.00,14.98,0.00,"605,686.58"
MICHOACAN,3 - ZITACUARO,PAREDES CORREA CARLOS ALBERTO,"150,000.00","455,671.60",0.00,0.00,0.00,0.00,0.00,0.00,14.98,0.00,"605,686.58"
MICHOACAN,4 - JIQUILPAN,MORA CIPRES FRANCISCO,"150,000.00","455,671.60",0.00,0.00,"70,000.00",0.00,0.00,0.00,14.38,0.00,"675,685.98"
MICHOACAN,5 - ZAMORA,MORA ALVAREZ BEATRIZ,0.00,"455,671.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"455,671.60"
MICHOACAN,6 - HIDALGO,MARTINEZ SOTO NORBERTO ANTONIO,"150,000.00","455,671.60",0.00,0.00,0.00,0.00,"87,500.00",0.00,14.98,0.00,"693,186.58"
MICHOACAN,7 - ZACAPU,HERNANDEZ ALCALA J. GUADALUPE,0.00,"455,671.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"455,671.60"
MICHOACAN,8 - MORELIA,"HERRERA CALDERON MARIAGUADALUPE","300,000.00","455,671.60",0.00,0.00,0.00,0.00,0.00,0.00,9.94,0.00,"755,681.54"
MICHOACAN,9 - URUAPAN,ALANIS PEDRAZA ANGEL II,"150,000.00","455,671.60",0.00,0.00,0.00,0.00,0.00,0.00,14.95,0.16,"605,686.71"
MICHOACAN,10 - MORELIA,LOPEZ MEJIA PRISCILA,"150,000.00","455,671.60",0.00,0.00,0.00,0.00,0.00,0.00,18.31,32.46,"605,722.37"
MICHOACAN,11 - PATZCUARO,SAUCEDO REYES ARACELI,"150,000.00","455,671.60",0.00,0.00,0.00,0.00,"18,000.00",0.00,4.34,0.00,"623,675.94"
MICHOACAN,12 - APATZINGAN,ALVAREZ ISAIS ERENDIRA,"150,000.00","455,671.60",0.00,0.00,0.00,0.00,"50,000.00",0.00,7.52,0.00,"655,679.12"
MORELOS,1 - CUERNAVACA,DOMINGUEZ RIVERA MARIA TERESA,"150,000.00","469,063.13",0.00,0.00,0.00,0.00,"378,000.00",0.00,48.65,0.00,"997,111.78"
MORELOS,2 - JIUTEPEC,GARCIA CHAVEZ HECTOR JAVIER,"184,000.00","469,063.13",0.00,0.00,"24,000.00",0.00,"300,000.00","6,750.00",19.54,0.00,"983,832.67"
MORELOS,3 - CUAUTLA,MEZA GUZMAN LUCIA VIRGINIA,"150,000.00","469,063.13","34,000.00",0.00,"34,000.00","20,000.00","79,000.00",0.00,24.37,0.00,"786,087.50"
MORELOS,4 - JOJUTLA,RODRIGUEZ RUIZ TANIA VALENTINA,"50,000.00","469,063.13",0.00,0.00,0.00,0.00,0.00,0.00,21.03,0.00,"519,084.16"
MORELOS,5 - YAUTEPEC,RUIZ SILVA ROBERTO,"150,000.00","469,063.13","267,500.00",0.00,"-177,500.00",0.00,0.00,0.00,13.42,0.00,"709,076.55"
NAYARIT,1 - SANTIAGO IXCUINTLA,LORA AGUILAR SAULO ALFONSO,"150,000.00","575,343.40",0.00,0.00,0.00,0.00,0.00,0.00,12.76,0.00,"725,356.16"
NAYARIT,2 - TEPIC,"CASTELLON FONSECA GUADALUPEFRANCISCO JAVIER","150,000.00","445,774.60",0.00,0.00,0.00,0.00,0.00,0.00,11.81,0.00,"595,786.41"
NAYARIT,3 - COMPOSTELA,DUÑALDS PONCE MARIEL,"150,000.00","551,369.48",0.00,0.00,0.00,0.00,0.00,0.00,12.87,0.00,"701,382.35"
NUEVO LEON,1 - SANTA CATARINA,MARTINEZ TIJERINA MARLEN DINHORA,"150,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,"599,129.90"
NUEVO LEON,2 - APODACA,SALAZAR GARAY SILVIA ALICIA,"150,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,0.00,18.47,0.00,"599,134.73"
NUEVO LEON,3 - GRAL. ESCOBEDO,MENDOZA SALDAÑA JOSEFINA,"150,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,0.00,8.13,0.00,"599,124.39"
NUEVO LEON,4 - SAN NICOLAS DE LOS GARZ,LOZANO VAZQUEZ CARMEN RUBY,"150,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"599,116.26"
NUEVO LEON,5 - MONTERREY,VAZQUEZ GONZALEZ PEDRO,"150,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,0.00,8.61,0.00,"599,124.87"
NUEVO LEON,6 - MONTERREY,GARZA RODRIGUEZ NADIA LORENA,"100,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,"7,000.00",0.00,0.00,"556,116.26"
NUEVO LEON,7 - MONTERREY,LOREDO CANDELARIA ALMA ISELA,"100,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,"2,500.00",0.00,0.00,"551,616.26"
NUEVO LEON,8 - GUADALUPE,"ARMENDARIZ BETANCOURT IRMALETICIA","150,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,0.00,7.74,0.00,"599,124.00"
NUEVO LEON,9 - LINARES,NAVA MENCHACA SERGIO GILBERTO,"150,000.00","449,116.26",0.00,0.00,0.00,0.00,0.00,0.00,7.29,0.00,"599,123.55"
NUEVO LEON,10 - MONTERREY,FLORES LOZANO LINDA ANALI,"150,000.00","449,116.26",0.00,0.00,0.00,"28,352.00",0.00,0.00,5.20,0.00,"627,473.46"
NUEVO LEON,11 - GUADALUPE,GONZALEZ REYNA MA. GUADALUPE,"100,000.00","449,116.26",0.00,0.00,0.00,"18,290.00",0.00,0.00,5.24,0.00,"567,411.50"
NUEVO LEON,12 - CADEREYTA JIMENEZ,ARGUIJO BALDENEGRO EDUARDO,"150,000.00","449,116.26",0.00,"61,860.00",0.00,"41,940.00",0.00,0.00,17.39,0.00,"702,933.65"
OAXACA,1 - SAN JUAN BAUTISTA TUXTE,NEICÑO HERNANDEZ FRANCISCO JAVIER,"150,000.00","425,781.93",0.00,0.00,"10,000.00",0.00,"260,000.00",0.00,85.24,0.00,"845,867.17"
OAXACA,2 - TEOTITLAN DE FLORES MA,OANLVAREZ MARTINEZ ANTONIO,"150,000.00","425,781.93",0.00,0.00,0.00,0.00,0.00,"34,117.88",34.21,0.00,"609,934.02"
OAXACA,3 - HEROICA CIUDAD DE HUAJ,ACPRAUNZ  DCER ULEZO JNUANITA ARCELIA,"150,000.00","441,880.63",0.00,"53,654.00",0.00,0.00,0.00,"78,395.71",17.67,0.00,"723,948.01"
